id,value,name
1,1,مهن
2,2,مؤسسة فردية
3,3,تضامن
4,4,توصية بسيطة
5,5,محدودة المسؤولية
6,6,توصية بالأسهم
7,7,شركة مساهمة
8,8,هولدنغ
9,9,أوف شور
10,10,غير
11,11,جمعيات
12,12,نقابات
14,14,شركة مدنية
15,15,شركة فعلية
16,16,شركة محاصة.
17,17,مكتب تمثيل
18,18,مؤسسات عامة
19,19,منظمات دولية
20,20,شركات قيد التأسيس
21,21,مؤسسة تجارية
23,23,مؤسسات ذات منفعةعامة
24,24,مؤسسة مستقرة
25,25,إدارة عامة
26,26,بلدية
27,27,اتحاد بلديات
28,28,بعثة دبلوماسية
29,29,صندوق تعاضد
30,30,وقف
31,31,هيئة روحية
32,32,شركة فعلية/ورثة
33,33,صندوق/هيئة
